x,y
ﾌﾛｰﾄ板ｶﾞﾗｽ厚さ12.0mm 特寸2.18㎡以下,透明フロート １２㍉
ﾌﾛｽﾄｶﾞﾗｽ厚さ4.0mm 120×120(SD-112),型板ガラス ４㍉
ﾌﾛｽﾄｶﾞﾗｽ厚さ4.0mm 120×800(LD-K03他),型板ガラス ４㍉
ﾌﾛｽﾄｶﾞﾗｽ厚さ4.0mm 120×1800(SD-207他),型板ガラス ４㍉
ﾌﾛｽﾄｶﾞﾗｽ厚さ4.0mm 150×150(SD-202他),型板ガラス ４㍉
ﾌﾛｽﾄｶﾞﾗｽ厚さ8.0mm 特寸2.18㎡以下,フロストグラス（プレーン） ８㍉
網入みがき板ｶﾞﾗｽ厚さ6.8 120×1800 ひし(HSD-101他),網入磨ガラス ６．８㍉
強化ｶﾞﾗｽ厚さ8.0mm 250×500(SSD-101),ﾃﾝﾊﾟﾗｲﾄ (透明ﾌﾛｰﾄ) ８㍉
強化ｶﾞﾗｽ厚さ12.0mm 平面 4.00㎡以下,ﾃﾝﾊﾟﾗｲﾄ (透明ﾌﾛｰﾄ) １２㍉
強化ｶﾞﾗｽ厚さ12.0mm 平面 6.00㎡以下,ﾃﾝﾊﾟﾗｲﾄ (透明ﾌﾛｰﾄ) １２㍉
耐熱強化ｶﾞﾗｽ厚さ5.0mm 120×1800(SD-106'他),ﾏｲﾎﾞｰｶ (透明ﾌﾛｰﾄ) ５㍉
耐熱強化ｶﾞﾗｽ厚さ5.0mm 2400×1400欠け:2400×860÷2(SW-607),ﾏｲﾎﾞｰｶ (透明ﾌﾛｰﾄ) ５㍉
耐熱強化ｶﾞﾗｽ厚さ6.5mm 平面 2.00㎡以下,ﾏｲﾎﾞｰｶ (透明ﾌﾛｰﾄ) ６.５㍉
耐熱強化ｶﾞﾗｽ厚さ8.0mm 平面 2.00㎡以下,ﾏｲﾎﾞｰｶ (透明ﾌﾛｰﾄ) ８㍉
ﾌﾛｽﾄｶﾞﾗｽ厚さ4.0mm 120×1800,型板ガラス ４㍉
強化型板ｶﾞﾗｽW850×H2450 厚8.0,フロスト熱処理ガラス ８㍉
強化型板ｶﾞﾗｽW850×H2600 厚8.0,フロスト熱処理ガラス ８㍉
強化合わせｶﾞﾗｽ厚10.0+8.0H=1050,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(60mil) 強化8+強化10 H1050
ﾌﾛｰﾄ板ｶﾞﾗｽ厚さ6.0mm 特寸2.18㎡以下,透明フロート ６㍉
強化ｶﾞﾗｽ厚さ12.0mm 平面 4.00㎡以下,ﾃﾝﾊﾟﾗｲﾄ (透明ﾌﾛｰﾄ) １２㍉
複層ｶﾞﾗｽLE6+A12+FL5 特寸2.00㎡以下,ｻﾝﾊﾞﾗﾝｽ Low-E6+A12+FL5
複層ｶﾞﾗｽLE6+A12+FL5 特寸4.00㎡以下,ｻﾝﾊﾞﾗﾝｽ Low-E6+A12+FL5
複層ｶﾞﾗｽLE6+A12+HTG5 特寸2.00㎡以下,ｻﾝﾊﾞﾗﾝｽ Low-E6+A12+耐熱強化5
複層ｶﾞﾗｽLE6+A12+FL5 特寸2.00㎡以下,ｻﾝﾊﾞﾗﾝｽ Low-E6+A12+FL5
複層ｶﾞﾗｽ強化LE8+A12+TG8 特寸4.00㎡以下,ｻﾝﾊﾞﾗﾝｽ Low-E強化8+A12+強化8
ﾌﾛｰﾄ板ｶﾞﾗｽ厚さ6.0mm 900×295(SD-301),透明フロート ６㍉
ﾌﾛｰﾄ板ｶﾞﾗｽ厚さ6.0mm 1800×295(SD-303他),透明フロート ６㍉
ﾌﾛｰﾄ板ｶﾞﾗｽ厚さ6.0mm 特寸2.18㎡以下,透明フロート ６㍉
ﾌﾛｰﾄ板ｶﾞﾗｽ厚さ8.0mm 特寸2.18㎡以下,透明フロート ８㍉
ﾌﾛｽﾄｶﾞﾗｽ厚さ4.0mm 120×800(LD-K03他),型板ガラス ４㍉
ﾌﾛｽﾄｶﾞﾗｽ厚さ4.0mm 120×1800(SD-207他),型板ガラス ４㍉
ﾌﾛｽﾄｶﾞﾗｽ厚さ4.0mm 150×150,型板ガラス ４㍉
ﾌﾛｽﾄｶﾞﾗｽ厚さ15.0mm 特寸4.45㎡以下,フロストグラス（プレーン） １５㍉
強化ｶﾞﾗｽ厚さ12.0mm 平面 2.00㎡以下,ﾃﾝﾊﾟﾗｲﾄ (透明ﾌﾛｰﾄ) １２㍉
強化ｶﾞﾗｽ厚さ12.0mm 平面 4.00㎡以下,ﾃﾝﾊﾟﾗｲﾄ (透明ﾌﾛｰﾄ) １２㍉
耐熱強化ｶﾞﾗｽ厚さ5.0mm 平面 2.00㎡以下,ﾏｲﾎﾞｰｶ (透明ﾌﾛｰﾄ) ５㍉
耐熱強化ｶﾞﾗｽ厚さ6.5mm 平面 2.00㎡以下,ﾏｲﾎﾞｰｶ (透明ﾌﾛｰﾄ) ６.５㍉
ﾌﾛｽﾄｶﾞﾗｽ厚さ4.0mm 120×1800,型板ガラス ４㍉
ﾌﾛｽﾄｶﾞﾗｽ厚さ4.0mm 150×150,型板ガラス ４㍉
強化型板ｶﾞﾗｽW850×H2450 厚8.0,フロスト熱処理ガラス ８㍉
強化合わせｶﾞﾗｽ厚10.0+8.0H=1000,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(60mil) 強化8+強化10 H1000
複層ｶﾞﾗｽLE6+A12+FL5 特寸2.00㎡以下,ｻﾝﾊﾞﾗﾝｽ Low-E6+A12+FL5
姿見鏡W450×H2100 厚5.0 防錆鏡,ｻﾝﾐﾗｰ ﾃﾞﾗｯｸｽ ５㍉･･･壁面／洗面
化粧鏡W300×H450 厚5.0 防錆鏡,ｻﾝﾐﾗｰ ﾃﾞﾗｯｸｽ ５㍉･･･壁面／洗面
化粧鏡W300×H1150 厚5.0 防錆鏡,ｻﾝﾐﾗｰ ﾃﾞﾗｯｸｽ ５㍉･･･壁面／洗面
化粧鏡W400×H600 厚5.0 防錆鏡,ｻﾝﾐﾗｰ ﾃﾞﾗｯｸｽ ５㍉･･･壁面／洗面
化粧鏡W400×H800 厚5.0 防錆鏡,ｻﾝﾐﾗｰ ﾃﾞﾗｯｸｽ ５㍉･･･壁面／洗面
化粧鏡W400×H1200 厚5.0 防錆鏡,ｻﾝﾐﾗｰ ﾃﾞﾗｯｸｽ ５㍉･･･壁面／洗面
化粧鏡W450×H900 厚5.0 防錆鏡,ｻﾝﾐﾗｰ ﾃﾞﾗｯｸｽ ５㍉･･･壁面／洗面
姿見鏡W450×H2100 厚5.0 防錆鏡,ｻﾝﾐﾗｰ ﾃﾞﾗｯｸｽ ５㍉･･･壁面／洗面
化粧鏡W300×H1150 厚5.0 防錆鏡,ｻﾝﾐﾗｰ ﾃﾞﾗｯｸｽ ５㍉･･･壁面／洗面
化粧鏡W400×H800 厚5.0 防錆鏡,ｻﾝﾐﾗｰ ﾃﾞﾗｯｸｽ ５㍉･･･壁面／洗面
化粧鏡W450×H900 厚5.0 防錆鏡,ｻﾝﾐﾗｰ ﾃﾞﾗｯｸｽ ５㍉･･･壁面／洗面
化粧鏡W450×H900 厚5.0 防錆鏡,ｻﾝﾐﾗｰ ﾃﾞﾗｯｸｽ ５㍉･･･壁面／洗面
ﾌﾛｰﾄ板ｶﾞﾗｽ厚6 2.18㎡以下,透明フロート ６㍉
強化ｶﾞﾗｽ厚5 2.00㎡以下,ﾃﾝﾊﾟﾗｲﾄ (透明ﾌﾛｰﾄ) ５㍉
合わせｶﾞﾗｽPSG5+PSG5 2.00㎡以下,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil) FL5+FL5
合わせｶﾞﾗｽPSG8+PSG8 2.00㎡以下,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil) FL8+FL8
合わせｶﾞﾗｽPSG8+PSG8 4.00㎡以下,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil) FL8+FL8
複層ｶﾞﾗｽPSG6+A6+FG6 2.00㎡以下,ﾍﾟｱｶﾞﾗｽ 型6+A6+FL6
複層ｶﾞﾗｽPSG6+A6+PSG6 2.00㎡以下,ﾍﾟｱｶﾞﾗｽ FL6+A6+FL6
複層ｶﾞﾗｽPWG6.8+A6+FG6 2.00㎡以下,ﾍﾟｱｶﾞﾗｽ PW6.8+A6+型6
複層ｶﾞﾗｽPWG6.8+A6+PSG6 2.00㎡以下,ﾍﾟｱｶﾞﾗｽ PW6.8+A6+FL6
ﾌﾛｰﾄ板ｶﾞﾗｽ厚3 2.18㎡以下,透明フロート ３㍉
ﾌﾛｰﾄ板ｶﾞﾗｽ厚3 2.18㎡以下,透明フロート ３㍉
ﾌﾛｰﾄ板ｶﾞﾗｽ厚3 100×200,透明フロート ３㍉
ﾌﾛｰﾄ板ｶﾞﾗｽ厚3 100×200,透明フロート ３㍉
ﾌﾛｰﾄ板ｶﾞﾗｽ厚5 2.18㎡以下,透明フロート ５㍉
ﾌﾛｰﾄ板ｶﾞﾗｽ厚6 2.18㎡以下,透明フロート ６㍉
型板ｶﾞﾗｽ厚4 2.18㎡以下,型板ガラス ４㍉
型板ｶﾞﾗｽ厚4 100×200,型板ガラス ４㍉
型板ｶﾞﾗｽ厚4 150×150,型板ガラス ４㍉
強化ｶﾞﾗｽ厚5 2.00㎡以下,ﾃﾝﾊﾟﾗｲﾄ (透明ﾌﾛｰﾄ) ５㍉
強化ｶﾞﾗｽ厚5 4.00㎡以下,ﾃﾝﾊﾟﾗｲﾄ (透明ﾌﾛｰﾄ) ５㍉
強化ｶﾞﾗｽ厚6 2.00㎡以下,ﾃﾝﾊﾟﾗｲﾄ (透明ﾌﾛｰﾄ) ６㍉
合わせｶﾞﾗｽPSG5+PSG5 2.00㎡以下,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil) FL5+FL5
合わせｶﾞﾗｽPSG5+PSG5 4.00㎡以下,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil) FL5+FL5
合わせｶﾞﾗｽPSG8+PSG8 2.00㎡以下,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil) FL8+FL8
強化ｶﾞﾗｽ厚12 ﾉﾝｽﾘｯﾌﾟ加工1500×900,〈強化12ﾐﾘ 1500×900(ﾉﾝｽﾘｯﾌﾟ加工) 1枚〉
合わせｶﾞﾗｽ強化ｶﾞﾗｽ 厚12+121500×900,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(60mil) 強化12+強化12
網入磨板ｶﾞﾗｽ厚6.8 2.18㎡以下,網入磨ガラス ６．８㍉
網入型板ｶﾞﾗｽ厚6.8 2.18㎡以下,網入型板ガラス ６．８㍉
網入型板ｶﾞﾗｽ厚6.8 2.18㎡以下,網入型板ガラス ６．８㍉
耐熱強化ｶﾞﾗｽ厚8 2.00㎡以下,ﾏｲﾎﾞｰｶ (透明ﾌﾛｰﾄ) ８㍉
耐熱強化ｶﾞﾗｽ厚8 4.00㎡以下,ﾏｲﾎﾞｰｶ (透明ﾌﾛｰﾄ) ８㍉
免震装置用鏡防湿鏡:厚6 W900×H900,ｻﾝﾐﾗｰ ﾃﾞﾗｯｸｽ ６㍉･･･壁面／洗面
防蝕鏡厚5 W400×H1150,ｻﾝﾐﾗｰ ﾃﾞﾗｯｸｽ ５㍉･･･壁面／洗面
大型鏡ｽﾃﾝﾚｽW2000×H2000,〈ｽﾃﾝﾚｽ製 W2000×H2000 1枚〉
鏡防湿鏡 厚5,ｻﾝﾐﾗｰ ﾃﾞﾗｯｸｽ ５㍉･･･壁面／洗面
鏡防湿鏡 厚5,ｻﾝﾐﾗｰ ﾃﾞﾗｯｸｽ ５㍉･･･壁面／洗面
防湿鏡厚5 W400×H1100ｽﾃﾝﾚｽ枠 厚2.0曲加工,ｻﾝﾐﾗｰ ﾃﾞﾗｯｸｽ ５㍉･･･壁面／洗面
複層ｶﾞﾗｽFL5+A6+FL5 2.00m2以下,ﾍﾟｱｶﾞﾗｽ FL5+A6+FL5
複層ｶﾞﾗｽFL6+A12+FL6 2.00m2以下,ﾍﾟｱｶﾞﾗｽ FL6+A12+FL6
複層ｶﾞﾗｽFL6+A12+FL6 4.00m2以下,ﾍﾟｱｶﾞﾗｽ FL6+A12+FL6
複層ｶﾞﾗｽFL6+A12+FL6 6.00m2以下,ﾍﾟｱｶﾞﾗｽ FL6+A12+FL6
手術室OP3､9複層ｶﾞﾗｽFL6+A12+鉛入144.00m2以下,〈手術室OP3､9 複層ｶﾞﾗｽ FL6+A12+鉛入14〉
複層ｶﾞﾗｽFL6+A12+P6.8 2.00m2以下,ﾍﾟｱｶﾞﾗｽ PW6.8+A12+FL6
複層ｶﾞﾗｽFL8+A12+FL8 4.00m2以下,ﾍﾟｱｶﾞﾗｽ FL8+A12+FL8
複層ｶﾞﾗｽFL10+A12+FL10 2.00m2以下,ﾍﾟｱｶﾞﾗｽ FL10+A12+FL10
複層ｶﾞﾗｽFL10+A12+FL10 4.00m2以下,ﾍﾟｱｶﾞﾗｽ FL10+A12+FL10
引違ｶﾞﾗｽ戸ﾌﾛｰﾄ 厚5 800×600, 透明フロート ５㍉
2連引違ｶﾞﾗｽ戸ﾌﾛｰﾄ 厚5 2000×600, 透明フロート ５㍉
引違ｶﾞﾗｽ戸ﾌﾛｰﾄ 厚5 800×600, 透明フロート ５㍉
引違ｶﾞﾗｽ戸ﾌﾛｰﾄ 厚5 800×600, 透明フロート ５㍉
ﾌﾛｰﾄｶﾞﾗｽ厚5 2.18m2以下,透明フロート ５㍉
ﾌﾛｰﾄｶﾞﾗｽ厚5 4.45m2以下,透明フロート ５㍉
ﾌﾛｰﾄｶﾞﾗｽ厚5 100×1800ﾀﾍﾟｽﾄﾘｰ加工,フロストグラス ５㍉
ﾌﾛｰﾄｶﾞﾗｽ厚5 150×1500ﾀﾍﾟｽﾄﾘｰ加工,フロストグラス ５㍉
ﾌﾛｰﾄｶﾞﾗｽ厚8 6.81m2以下,透明フロート ８㍉
型板ｶﾞﾗｽ厚4 100×800ﾀﾍﾟｽﾄﾘｰ加工,型板ガラス ４㍉
型板ｶﾞﾗｽ厚4 100×1500ﾀﾍﾟｽﾄﾘｰ加工,型板ガラス ４㍉
型板ｶﾞﾗｽ厚4 100×1800ﾀﾍﾟｽﾄﾘｰ加工,型板ガラス ４㍉
型板ｶﾞﾗｽ厚4 150×1500ﾀﾍﾟｽﾄﾘｰ加工,型板ガラス ４㍉
型板ｶﾞﾗｽ厚4 200×100ﾀﾍﾟｽﾄﾘｰ加工,型板ガラス ４㍉
強化ｶﾞﾗｽ厚5 2.00m2以下,ﾃﾝﾊﾟﾗｲﾄ (透明ﾌﾛｰﾄ) ５㍉
強化ｶﾞﾗｽ厚5 150×1500ﾀﾍﾟｽﾄﾘｰ加工,フロスト熱処理ガラス ５㍉
強化ｶﾞﾗｽ厚6 2.00m2以下,ﾃﾝﾊﾟﾗｲﾄ (透明ﾌﾛｰﾄ) ６㍉
ﾌﾛｰﾄｶﾞﾗｽ厚5 340×869,透明フロート ５㍉
ﾌﾞﾗｲﾝﾄﾞ内蔵ｶﾞﾗｽﾌﾛｰﾄ6+ﾌﾞﾗｲﾝﾄﾞ+ﾌﾛｰﾄ5900×1100,〈ﾌﾞﾗｲﾝﾄﾞ内蔵ｶﾞﾗｽ FL6+ﾌﾞﾗｲﾝﾄﾞ+FL5〉
ﾌﾞﾗｲﾝﾄﾞ内蔵ｶﾞﾗｽﾌﾛｰﾄ6+ﾌﾞﾗｲﾝﾄﾞ+ﾌﾛｰﾄ5780×1100,〈ﾌﾞﾗｲﾝﾄﾞ内蔵ｶﾞﾗｽ FL6+ﾌﾞﾗｲﾝﾄﾞ+FL5〉
ﾌﾞﾗｲﾝﾄﾞ内蔵ｶﾞﾗｽﾌﾛｰﾄ6+ﾌﾞﾗｲﾝﾄﾞ+ﾌﾛｰﾄ5842×1100,〈ﾌﾞﾗｲﾝﾄﾞ内蔵ｶﾞﾗｽ FL6+ﾌﾞﾗｲﾝﾄﾞ+FL5〉
ﾌﾞﾗｲﾝﾄﾞ内蔵ｶﾞﾗｽﾌﾛｰﾄ6+ﾌﾞﾗｲﾝﾄﾞ+ﾌﾛｰﾄ5987×1100,〈ﾌﾞﾗｲﾝﾄﾞ内蔵ｶﾞﾗｽ FL6+ﾌﾞﾗｲﾝﾄﾞ+FL5〉
防犯合わせｶﾞﾗｽFL10+FL10 4.00m2以下,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil) FL10+FL10
ﾀﾞﾌﾞﾙｶﾞﾗｽﾄﾞｱ強化5+強化5 900×2700,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(60mil) 強化5+強化5
強化合わせｶﾞﾗｽ厚6+厚6 2.00m2以下,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(60mil) 強化6+強化6
強化合わせｶﾞﾗｽ厚6+厚6 4.00m2以下,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(60mil) 強化6+強化6
化粧鏡300×600×厚5,サンミラー ５㍉･･･壁面／洗面
化粧鏡360×1700×厚5,サンミラー ５㍉･･･壁面／洗面
化粧鏡450×600×厚5,サンミラー ５㍉･･･壁面／洗面
化粧鏡500×1000×厚5,サンミラー ５㍉･･･壁面／洗面
化粧鏡450×1000×厚5,サンミラー ５㍉･･･壁面／洗面
ｶﾞﾗｽ手摺用ｶﾞﾗｽｶﾞﾗｽ:強化合せｶﾞﾗｽ 厚10+10,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(60mil) 強化10+強化10 H1200
防煙垂壁A網入型板ｶﾞﾗｽ 厚6.8,サンスモークカットＴ （一般天井用）
自動扉衝突防止柵強化ｶﾞﾗｽ 厚8,ﾃﾝﾊﾟﾗｲﾄ (透明ﾌﾛｰﾄ) ８㍉
自動扉衝突防止柵強化ｶﾞﾗｽ 厚8,ﾃﾝﾊﾟﾗｲﾄ (透明ﾌﾛｰﾄ) ８㍉
自動扉衝突防止柵強化ｶﾞﾗｽ 厚8,ﾃﾝﾊﾟﾗｲﾄ (透明ﾌﾛｰﾄ) ８㍉
自動扉衝突防止柵強化ｶﾞﾗｽ 厚8,ﾃﾝﾊﾟﾗｲﾄ (透明ﾌﾛｰﾄ) ８㍉
耐熱強化ｶﾞﾗｽt10 4.00m2以下,ﾏｲﾎﾞｰｶ (透明ﾌﾛｰﾄ) １０㍉
合わせｶﾞﾗｽﾌﾛ-ﾄt5+ﾌﾛ-ﾄt52.0m2以下,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil) FL5+FL5
合わせｶﾞﾗｽﾌﾛ-ﾄt5+ﾌﾛ-ﾄt54.0m2以下,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil) FL5+FL5
合わせｶﾞﾗｽﾌﾛ-ﾄt5+ﾌﾛ-ﾄt56.0m2以下,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil) FL5+FL5
合わせｶﾞﾗｽﾌﾛ-ﾄt6+ﾌﾛ-ﾄt62.0m2以下,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil) FL6+FL6
合わせｶﾞﾗｽﾌﾛ-ﾄt6+ﾌﾛ-ﾄt64.0m2以下,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil) FL6+FL6
合わせｶﾞﾗｽ網入磨t6.8+ﾌﾛ-ﾄt62.0m2以下,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil) PW6.8+FL6
合わせｶﾞﾗｽ網入磨t6.8+ﾌﾛ-ﾄt64.0m2以下,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil) PW6.8+FL6
複層ｶﾞﾗｽﾌﾛ-ﾄt6+A6+ﾌﾛ-ﾄt62.0m2以下,ﾍﾟｱｶﾞﾗｽ FL6+A6+FL6
合わせｶﾞﾗｽﾌﾛ-ﾄt3+ﾌﾛ-ﾄt3W300×H1500,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil) FL3+FL3
ﾌﾛｰﾄｶﾞﾗｽt8 2.18m2以下,透明フロート ８㍉
ﾌﾛｰﾄｶﾞﾗｽt8 4.45m2以下,透明フロート ８㍉
ﾌﾛｰﾄｶﾞﾗｽt10 4.45m2以下,透明フロート １０㍉
ﾌﾛｰﾄｶﾞﾗｽt12 2.18m2以下,透明フロート １２㍉
ﾌﾛｰﾄｶﾞﾗｽt12 4.45m2以下,透明フロート １２㍉
網入磨ｶﾞﾗｽt10 2.18m2以下,網入磨ガラス １０㍉
強化ｶﾞﾗｽt10 2.0m2以下(ﾋｰﾄｿｰｸ処理),ﾃﾝﾊﾟﾗｲﾄ (透明ﾌﾛｰﾄ) １０㍉
複層ｶﾞﾗｽﾌﾛｰﾄt6+A12+ﾌﾛｰﾄt52.0m2以下,ﾍﾟｱｶﾞﾗｽ FL5+A12+FL6
複層ｶﾞﾗｽﾌﾛｰﾄt6+A12+ﾌﾛｰﾄt54.0m2以下,ﾍﾟｱｶﾞﾗｽ FL5+A12+FL6
複層ｶﾞﾗｽﾌﾛｰﾄt8+A12+ﾌﾛｰﾄt64.0m2以下,ﾍﾟｱｶﾞﾗｽ FL6+A12+FL8
複層ｶﾞﾗｽﾌﾛｰﾄt10+A12+ﾌﾛｰﾄt82.0m2以下,ﾍﾟｱｶﾞﾗｽ FL8+A12+FL10
複層ｶﾞﾗｽﾌﾛｰﾄt10+A12+ﾌﾛｰﾄt84.0m2以下,ﾍﾟｱｶﾞﾗｽ FL8+A12+FL10
複層ｶﾞﾗｽ網入磨t6.8+A12+ﾌﾛｰﾄt52.0m2以下,ﾍﾟｱｶﾞﾗｽ PW6.8+A12+FL5
複層ｶﾞﾗｽ網入磨t10+A12+ﾌﾛｰﾄt82.0m2以下,ﾍﾟｱｶﾞﾗｽ PW10+A12+FL8
複層ｶﾞﾗｽﾌﾛｰﾄt6+A12+ﾌﾛｰﾄt82.0m2以下,ﾍﾟｱｶﾞﾗｽ FL6+A12+FL8
複層ｶﾞﾗｽﾌﾛｰﾄt12+A12+ﾌﾛｰﾄt82.0m2以下,ﾍﾟｱｶﾞﾗｽ FL8+A12+FL12
複層ｶﾞﾗｽﾌﾛｰﾄt12+A12+ﾌﾛｰﾄt84.0m2以下,ﾍﾟｱｶﾞﾗｽ FL8+A12+FL12
複層ｶﾞﾗｽﾌﾛｰﾄt10+A12+ﾌﾛｰﾄt62.0m2以下,ﾍﾟｱｶﾞﾗｽ FL6+A12+FL10
複層ｶﾞﾗｽﾌﾛｰﾄt10+A12+ﾌﾛｰﾄt64.0m2以下,ﾍﾟｱｶﾞﾗｽ FL6+A12+FL10
複層ｶﾞﾗｽﾌﾛｰﾄt6+A12+網入型t6.82.0m2以下,ﾍﾟｱｶﾞﾗｽ FW6.8+A12+FL6
ﾌﾛｰﾄｶﾞﾗｽt5 2.18m2以下,透明フロート ５㍉
耐熱強化ｶﾞﾗｽt10 2.00m2以下,ﾏｲﾎﾞｰｶ (透明ﾌﾛｰﾄ) １０㍉
合わせｶﾞﾗｽﾌﾛ-ﾄt5+ﾌﾛ-ﾄt54.0m2以下,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil) FL5+FL5
合わせｶﾞﾗｽﾌﾛ-ﾄt6+ﾌﾛ-ﾄt64.0m2以下,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil) FL6+FL6
複層ｶﾞﾗｽﾌﾛ-ﾄt6+A6+ﾌﾛ-ﾄt62.0m2以下,ﾍﾟｱｶﾞﾗｽ FL6+A6+FL6
合わせｶﾞﾗｽﾌﾛ-ﾄt3+ﾌﾛ-ﾄt3W100×H100,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil) FL3+FL3
合わせｶﾞﾗｽﾌﾛ-ﾄt3+ﾌﾛ-ﾄt3W100×H950,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil) FL3+FL3
合わせｶﾞﾗｽﾌﾛ-ﾄt3+ﾌﾛ-ﾄt3W100×H1350,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil) FL3+FL3
合わせｶﾞﾗｽﾌﾛ-ﾄt3+ﾌﾛ-ﾄt3W150×H1600,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil) FL3+FL3
合わせｶﾞﾗｽ(ｶﾗｰ中間膜)ﾌﾛ-ﾄt4+ﾌﾛ-ﾄt40.8m2以下,カラーラミセーフ FL4+FL4(30mil)
強化合わせｶﾞﾗｽ(ｶﾗｰ中間膜)強化t5+強化t50.8m2以下(ﾋｰﾄｿｰｸ処理),カラーラミセーフ 強化5+強化5(60mil)
強化合せｶﾞﾗｽ強化t6+強化t62.0m2以下,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(60mil) 強化6+強化6
強化合せｶﾞﾗｽ強化t5+強化t50.8m2以下(ﾋｰﾄｿｰｸ処理),ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(60mil) 強化5+強化5
透明ﾌﾛｰﾄ板ｶﾞﾗｽt=6 4.45㎡以下,透明フロート ６㍉
透明ﾌﾛｰﾄ板ｶﾞﾗｽt=12 4.45㎡以下,透明フロート １５㍉
透明ﾌﾛｰﾄ板ｶﾞﾗｽt=15 4.45㎡以下,透明フロート １５㍉
